REGISTRATION,aircraft_type,ON BLOCK,OFF BLOCK,parking_stand,FROM,TO,ARR,DEP,operator_airline,category,aircraft_size,airline_tier,stand_zone,IS_SYNTHETIC,TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND
M-JGVJ,GLEX,10:02,12:12,B6,RE03,WSSL,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-0,,,,,,,,,,,,,,True,C404,TAS,CHARTER,B3
PK-GMD,B 738,17:32,18:21,B2,WARR,WADD,GA 0331,GA 0462,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUP,A 320,18:56,19:55,B1,WIEE,WIPP,ID 7108,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-481,,,,,,,,,,,,,,True,CRV,AIRNESIA,CARGO,B6
PK-GFI,B 738,16:24,17:16,B2,WARR,WIEE,GA 0331,GA 0166,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GLS,A 320,20:19,,B1,WARR,,QG 0173,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUK,A 320,11:50,12:44,A2,WAHQ,WAHI,ID 7040,ID 7539,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-JRB,B 733,12:54,15:02,B12,WAAA,WIOO,,,JAYAWIJAYA,CARGO,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-158,,,,,,,,,,,,,,True,B733,TRAVIRA,CHARTER,B4
PK-VVF,C 208,10:45,11:49,A0,WICN,WICN,,SI 234,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-A187,GLEX,22:32,,B5,HGR,,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-142,,,,,,,,,,,,,,True,C404,JIP,CHARTER,B4
SYNTH-469,,,,,,,,,,,,,,True,A321,PELITA,COMMERCIAL,B1
SYNTH-69,,,,,,,,,,,,,,True,C404,KARISMA,CHARTER,B3
SYNTH-255,,,,,,,,,,,,,,True,B350,PTN,CHARTER,B6
SYNTH-186,,,,,,,,,,,,,,True,CL850,JETSET,CHARTER,B5
SYNTH-83,,,,,,,,,,,,,,True,CL604,PTN,CHARTER,B3
PK-JRB,B 733,19:22,22:05,B13,WIDN,WAAA,,,JAYAWIJAYA,CARGO,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
PK-BVX,AVANTI,9:45,10:50,A1,NSA11,WICN,,,SUSI AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-MEL,GLEX,16:42,17:07,B3,WSSL,SA09,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-MGZ,B 733,16:52,21:11,B12,WALL,WIMM,GM 030,GM 171,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
N-939AP,GLEX,17:44,18:24,B3,WAHQ,SA21,TJ 03,,BIOMANTARA,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUU,A 320,12:33,13:26,B7,WAHS,WIMM,ID 7556,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-JRB,B 733,11:03,13:51,B10,SA19,WIOO,,,JAYAWIJAYA,CARGO,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-322,,,,,,,,,,,,,,True,B737,SUSI AIR,COMMERCIAL,A1
SYNTH-493,,,,,,,,,,,,,,True,DC10,BBN,CARGO,B5
PK-YSH,B 733,7:24,14:29,B13,WAMM,WAGG,IL 730,IL 713,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-380,,,,,,,,,,,,,,True,A321,CITILINK,COMMERCIAL,A3
SYNTH-85,,,,,,,,,,,,,,True,A321,BATIK AIR,COMMERCIAL,A3
PK-FJA,ATR 72,7:18,7:53,A3,WAHH,WAHH,KS 101,KS 102,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-92,,,,,,,,,,,,,,True,B733,AIRNESIA,CARGO,B13
PK-BVX,AVANTI,9:09,9:50,A0,NSA10,WIKT,,,SUSI AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-X14,G VI,13:08,14:02,B6,YPPH,RE02,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-VVO,C 208,15:58,,A0,RTA,,,,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
VP-CTC,G 7500,21:32,22:30,B3,HGR,YMML,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GQF,A 320,12:10,13:02,A3,WIMN,WARA,QG 0021,QG 0164,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GNG,B 738,12:00,13:04,B2,WIMM,WARR,GA 0181,GA 0330,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-265,,,,,,,,,,,,,,True,G IV,BIOMANTARA,CHARTER,B7
SYNTH-493,,,,,,,,,,,,,,True,A320,FLY JAYA,COMMERCIAL,A2
T7-S16,G 500,22:18,,B5,HGR,,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GMA,B 738,22:40,,B2,WADD,,GA 0463,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-VVF,C 208,7:10,7:43,A0,WICN,WICC,SI 235,SI 230,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUJ,A 320,20:30,21:05,A2,WIPP,WARR,ID 7058,ID 7521,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKF,A 320,12:44,13:38,B1,WARR,WIPP,ID 7516,ID 7051,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-SUSI-352,,,,,,,,,,,,,,True,C208,SUSI AIR,COMMERCIAL,A2
SYNTH-122,,,,,,,,,,,,,,True,MD11,B.B.N AIRLINES,CARGO,B13
PK-GJT,ATR 72,9:35,9:55,B2,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-MBA,B 733,10:48,11:30,B13,WALL,SA17,GM 030,,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-36,,,,,,,,,,,,,,True,CL604,JETSET,CHARTER,B3
PK-VVM,C 208,7:30,8:00,A0,WICN,WICN,SI 235,SI 234,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-243,,,,,,,,,,,,,,True,CL850,AFM,CHARTER,B6
SYNTH-41,,,,,,,,,,,,,,True,CRV,JAYAWIJAYA,CARGO,B13
SYNTH-177,,,,,,,,,,,,,,True,CL850,KARISMA,CHARTER,B5
PK-FJA,ATR 72,7:27,7:58,B1,WAHH,WAHH,KS 101,KS 102,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-NMI,B 733,19:52,21:50,B13,WALL,WAAA,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-73,,,,,,,,,,,,,,True,CRV,BBN,CARGO,B13
PK-GJV,ATR 72,14:20,14:44,B2,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-409,,,,,,,,,,,,,,True,A320,SUSI AIR,COMMERCIAL,A2
PK-PJJ,RJ 85,20:39,21:21,B5,WITT,RW05,,,SETNEG,CHARTER,STANDARD,LOW_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GJV,ATR 72,17:17,17:41,A1,WAHH,WIPO,QG 1105,QG 1998,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GGC,B 735,11:59,14:18,B12,WAGG,WAGG,QG 7451,QG 7452,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GMP,B 738,22:10,23:03,B3,WADD,WADD,GA 0463,GA 0462,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAI,A 320,20:15,,B1,WAHI,,ID 7530,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-VVH,C 208,16:48,,A0,A3,,,,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-484,,,,,,,,,,,,,,True,CRV,TRIGANA,CARGO,B6
PK-MBA,B 733,5:08,6:23,B13,WSSS,WALL,GM 019,GM 061,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LAL,A 320,7:42,9:15,A2,WIPP,WADD,ID 7056,ID 7309,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GQF,A 320,11:47,12:42,B1,WIMN,WARA,QG 0021,QG 0164,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GJV,ATR 72,8:59,9:44,B3,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAL,A 320,20:20,,B6,WIMM,,ID 7010,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GJV,ATR 72,12:40,13:35,A3,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-MGZ,B 733,5:17,6:18,B13,WSSS,WALL,GM 019,GM 061,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUI,A 320,9:56,10:49,A2,WIPP,WAHS,ID 7054,ID 7557,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-977,G IV,5:25,6:08,B4,RW02,WSSL,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUR,A 320,19:05,,B9,WIPP,,ID 7058,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-57,,,,,,,,,,,,,,True,CL850,JETSET,CHARTER,B3
SYNTH-312,,,,,,,,,,,,,,True,C404,KARISMA,CHARTER,B1
PK-JRB,B 733,8:48,10:26,B9,WAAA,WAAA,,,JAYAWIJAYA,CARGO,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
PK-NMI,B 733,12:39,21:52,B8,WAGG,WAAA,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-266,,,,,,,,,,,,,,True,B733,B.B.N AIRLINES,CARGO,B11
PK-GFS,B 738,17:11,18:05,B2,WARR,WIEE,GA 0331,GA 0166,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GGC,B 735,18:18,,B13,WAGG,,QG 7453,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-30,,,,,,,,,,,,,,True,CRV,AIRNESIA,CARGO,B13
PK-GJT,ATR 72,9:04,9:46,B2,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-111,,,,,,,,,,,,,,True,A320,BATIK AIR,COMMERCIAL,A3
PK-LUQ,A 320,16:40,17:53,B7,WAHI,WADD,ID 7538,ID 7311,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-41,,,,,,,,,,,,,,True,DC10,BBN,CARGO,B13
PK-MGZ,B 733,4:59,5:53,B13,WSSS,WALL,GM 019,GM 061,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-318,,,,,,,,,,,,,,True,C404,TAS,CHARTER,B8
SYNTH-183,,,,,,,,,,,,,,True,MD11,JAYAWIJAYA,CARGO,B12
PK-THT,ATR 42,14:33,14:56,B5,WADL,RW03,,,IAT,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GJT,ATR 72,9:12,9:49,B1,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-3,,,,,,,,,,,,,,True,B738,CITILINK,COMMERCIAL,B1
PK-YST,B 733,13:03,15:30,B10,WAOO,WAOO,IL 726,IL 725,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUP,A 320,15:24,16:11,A2,WARA,WADD,ID 7582,ID 7311,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GJT,ATR 72,9:03,9:42,B2,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUU,A 320,7:50,8:36,A3,WIBB,WARR,ID 7066,ID 7513,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GLU,A 320,17:46,18:28,B6,WADD,WADD,QG 0195,QG 0194,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GQS,A 320,16:16,16:54,B1,WARA,WARR,QG 0165,QG 0172,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUV,A 320,22:06,22:53,A1,WARR,SA14,ID 7518,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-92,,,,,,,,,,,,,,True,ATR42,BATIK AIR,COMMERCIAL,A3
SYNTH-387,,,,,,,,,,,,,,True,B742,TRIGANA,CARGO,B10
PK-BON,G IV,15:59,16:43,B7,WADD,RE02,CEO 54,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-228,,,,,,,,,,,,,,True,B738,GARUDA,COMMERCIAL,B1
PK-LUS,A 320,19:39,22:10,B5,WAHI,SA20,ID 7530,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GJV,ATR 72,13:23,13:57,B1,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-422,,,,,,,,,,,,,,True,B733,AIRNESIA,CARGO,B9
PK-GJT,ATR 72,14:27,14:59,B2,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GGC,B 735,-,6:00,B9,EX RON,WAGG,-,QG 7450,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-BLA,A 320,17:03,20:47,B5,WARR,WARR,ID 7514,ID 7521,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-ISZ,G IV,20:17,21:04,B6,WIII,A1,,,PTN,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-349,,,,,,,,,,,,,,True,B350,TAS,CHARTER,B10
PK-TFS,EMB 135,9:48,10:17,A2,RTB,RW04,,,IAT,CHARTER,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
M-SUNY,FAL 7X,9:18,10:20,B3,WSSL,SA08,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GQS,A 320,20:23,,A3,WARR,,QG 0173,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUR,A 320,18:50,19:48,B2,WIEE,WARR,ID 7108,ID 7521,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-SUSI-363,,,,,,,,,,,,,,True,PC6,SUSI AIR,COMMERCIAL,A1
PK-VVF,C 208,7:06,7:47,A0,WICN,WICC,SI 235,SI 230,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-572,,,,,,,,,,,,,,True,ATR72,PELITA,COMMERCIAL,B3
PK-LUO,A 320,20:21,21:21,B1,WARR,WIPP,ID 7502,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
N-977JH,CT 680,8:15,10:22,B4,WAAA,NSA10,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GJT,ATR 72,17:57,,A3,WAHH,,QG 1105,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-8,,,,,,,,,,,,,,True,MD11,TRI MG,CARGO,B13
PK-BKP,A 320,22:58,,B8,WARR,,ID 7502,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUI,A 320,21:42,,B9,WADD,,ID 7310,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-89,,,,,,,,,,,,,,True,A320,FLY JAYA,COMMERCIAL,B1
PK-GFI,B 738,22:08,,B2,WADD,,GA 0463,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUV,A 320,16:03,17:15,B7,WARA,WADD,ID 7582,ID 7311,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BLB,A 320,21:22,,B1,WARR,,ID 7502,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-57,,,,,,,,,,,,,,True,B350,AFM,CHARTER,B3
SYNTH-106,,,,,,,,,,,,,,True,CL604,PTN,CHARTER,B4
SYNTH-590,,,,,,,,,,,,,,True,ATR72,PELITA,COMMERCIAL,B3
PK-BKT,A 320,15:48,16:37,B5,WIPP,WARR,ID 7052,ID 7503,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-267,,,,,,,,,,,,,,True,B350,PREMI,CHARTER,B7
SYNTH-353,,,,,,,,,,,,,,True,A321,FLY JAYA,COMMERCIAL,A3
PK-BKP,A 320,21:49,,B8,WARR,,ID 7502,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-RSS,EMB 135,18:25,18:43,B6,WBKK,SA12,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-SUSI-205,,,,,,,,,,,,,,True,C208,SUSI AIR,COMMERCIAL,A0
SYNTH-149,,,,,,,,,,,,,,True,ATR72,SUSI AIR,COMMERCIAL,A0
PK-LUK,A 320,12:54,14:17,B1,,WAHS,,ID 7559,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAJ,A 320,15:56,16:38,A3,WIPP,WIPP,ID 7052,ID 7059,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKP,A 320,14:51,17:34,A3,WARA,WARR,ID 7582,ID 7503,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-508,,,,,,,,,,,,,,True,B742,TRIGANA,CARGO,B3
PK-LZH,A 320,19:17,19:59,B1,WIMM,WARR,ID 7010,ID 7521,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUO,A 320,8:44,9:29,B3,WARR,WARR,ID 7510,ID 7517,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-808,G VI,15:52,,A1,B4,,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-219,,,,,,,,,,,,,,True,G IV,PREMI,CHARTER,B5
SYNTH-12,,,,,,,,,,,,,,True,B742,JAYAWIJAYA,CARGO,B13
PK-GMW,B 738,21:28,,B2,WARR,,GA 3354,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-808,G VI,7:55,8:28,B5,WSSL,HGR,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GQI,A 320,16:37,17:24,A3,WARA,WIMM,QG 0165,QG 0022,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
N-977JH,CT 680,11:29,14:17,B5,RTB,NSA13,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-353,,,,,,,,,,,,,,True,CL850,BIOMANTARA,CHARTER,B11
SYNTH-345,,,,,,,,,,,,,,True,B733,JAYAWIJAYA,CARGO,B10
PK-LAZ,A 320,20:14,,B5,WARR,,ID 7502,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GJT,ATR 72,13:07,13:47,A2,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-JRB,B 733,11:14,14:14,B11,SA08,WIOO,,,JAYAWIJAYA,CARGO,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-361,,,,,,,,,,,,,,True,B738,CITILINK,COMMERCIAL,A3
PK-BKF,A 320,16:40,17:47,B7,WIPP,WARR,ID 7052,ID 7503,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUW,A 320,12:08,13:04,B2,WIPP,WAHS,ID 7054,ID 7557,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GMW,B 738,11:59,12:53,B1,WIMM,WARR,GA 0181,GA 0330,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
9M-TSH,AVANTI,15:06,15:45,B4,WMSA,NSA11,,,GAPURA,CHARTER,STANDARD,LOW_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-FJA,ATR 72,7:38,8:22,B1,WAHH,WAHH,KS 101,KS 102,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAI,A 320,22:23,,B7,WARR,,ID 7518,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-51,,,,,,,,,,,,,,True,B737,CITILINK,COMMERCIAL,B1
PK-GJT,ATR 72,13:23,13:50,B1,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BLB,A 320,18:44,19:22,A2,WIMM,WIPP,ID 7010,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-JRB,B 733,15:15,16:41,B12,WAOO,WIKK,,,JAYAWIJAYA,CARGO,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
PK-GJT,ATR 72,17:35,,B3,WAHH,,QG 1105,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-187,EMB 135,22:43,,B3,HGR,,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUZ,A 320,12:42,13:29,A1,WARR,WIPP,ID 7516,ID 7051,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-496,,,,,,,,,,,,,,True,A321,BATIK AIR,COMMERCIAL,B1
PK-PAH,ATR 72,17:16,18:30,A1,WIDM,SA04,IP 7301,,PELITA,COMMERCIAL,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-FJA,ATR 72,11:06,11:59,B2,WAHH,WAHH,KS 103,KS 104,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAO,A 320,18:41,19:26,B1,WIEE,WIPP,ID 7108,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GGC,B 735,2:00,5:15,B11,SA15,WAGG,,QG 7450,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GJT,ATR 72,8:35,9:03,B2,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
N-38SV,LJ 60,16:38,17:18,B4,WAWW,NSA12,,,AMM,CHARTER,STANDARD,LOW_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GLE,A 320,17:12,17:53,B3,WADD,WADD,QG 0195,QG 0194,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-BAT,EMB 135,20:45,21:45,B5,,HGR,,,PTN,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
